player_name,line,emp_prob_last_3,emp_prob_last_5,emp_prob_last_7,emp_prob_last_10
Bodhi Uwland,14.5,0.6666666666666666,0.6,0.5714285714285714,0.7
Bodhi Uwland,19.5,0,0,0,0.10000000000000002
Bodhi Uwland,24.5,0,0,0,0
Brad Close,9.5,1,0.8,0.8571428571428571,0.8
Brad Close,14.5,0,0,0.14285714285714288,0.20000000000000004
Brad Close,19.5,0,0,0,0
Bradley Hill,9.5,1,1,1,1
Bradley Hill,14.5,1,0.8,0.8571428571428571,0.9
Bradley Hill,19.5,0.6666666666666666,0.6,0.5714285714285714,0.6
Bradley Hill,21,0.6666666666666666,0.4,0.42857142857142855,0.5
Bradley Hill,24.5,0,0,0.14285714285714288,0.1
Bradley Hill,29.5,0,0,0,0
Bradley Hill,34.5,0,0,0,0
Bradley Hill,39.5,0,0,0,0
Brady Hough,9.5,0.6666666666666666,0.8,0.7142857142857143,0.7
Brady Hough,14.5,0.33333333333333337,0.6,0.5714285714285714,0.6
Brady Hough,19.5,0.33333333333333337,0.4,0.2857142857142857,0.3
Brady Hough,24.5,0,0.2,0.14285714285714288,0.1
Braeden Campbell,9.5,0.6666666666666666,0.6,0.7142857142857143,0.6
Braeden Campbell,14.5,0,0,0.14285714285714288,0.2
Braeden Campbell,19.5,0,0,0,0
Brandon Starcevich,9.5,1,0.6,0.7142857142857143,0.7
Brandon Starcevich,14.5,0,0,0,0.20000000000000004
Brandon Starcevich,19.5,0,0,0,0
Brandon Zerk-Thatcher,9.5,1,0.6,0.5714285714285714,0.6
Brandon Zerk-Thatcher,14.5,0,0,0,0
Brandon Zerk-Thatcher,19.5,0,0,0,0
Brayden Cook,9.5,0.33333333333333337,0.6,0.5714285714285714,0.39999999999999997
Brayden Cook,14.5,0,0,0,0
Brayden Cook,19.5,0,0,0,0
Brayden Fiorini,9.5,1,1,1,1
Brayden Fiorini,14.5,1,1,1,1
Brayden Fiorini,19.5,1,0.8,0.8571428571428571,0.6
Brayden Fiorini,24.5,0.6666666666666666,0.4,0.42857142857142855,0.3
Brayden Fiorini,29.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Brayden Fiorini,34.5,0,0,0,0
Brayden Maynard,9.5,1,0.8,0.8571428571428571,0.9
Brayden Maynard,14.5,0.6666666666666666,0.6,0.7142857142857143,0.7
Brayden Maynard,19.5,0.33333333333333337,0.4,0.5714285714285714,0.39999999999999997
Brayden Maynard,24.5,0,0,0,0
Brennan Cox,9.5,0.6666666666666666,0.6,0.7142857142857143,0.7
Brennan Cox,14.5,0,0,0,0
Brennan Cox,19.5,0,0,0,0
Brodie Grundy,14.5,1,1,1,1
Brodie Grundy,19.5,1,1,0.8571428571428571,0.8
Brodie Grundy,24.5,0,0,0,0
Brodie Grundy,29.5,0,0,0,0
Brodie Grundy,34.5,0,0,0,0
Brody Mihocek,9.5,1,1,0.8571428571428571,0.8
Brody Mihocek,14.5,0,0,0,0.1
Brody Mihocek,19.5,0,0,0,0
Brynn Teakle,9.5,0.6666666666666666,0.6,0.42857142857142855,0.29999999999999993
Brynn Teakle,14.5,0.33333333333333337,0.2,0.14285714285714288,0.10000000000000002
Brynn Teakle,19.5,0,0,0,0
Brynn Teakle,24.5,0,0,0,0
Caleb Daniel,14.5,1,1,1,1
Caleb Daniel,19.5,0.6666666666666666,0.8,0.8571428571428571,0.9
Caleb Daniel,24.5,0.6666666666666666,0.8,0.5714285714285714,0.7
Caleb Daniel,29.5,0,0,0,0.10000000000000002
Caleb Daniel,34.5,0,0,0,0
Caleb Poulter,9.5,0.33333333333333337,0.6,0.7142857142857143,0.8
Caleb Poulter,10.5,0.33333333333333337,0.4,0.5714285714285714,0.7
Caleb Poulter,11.5,0,0.2,0.42857142857142855,0.6
Caleb Poulter,12.5,0,0.2,0.42857142857142855,0.5
Caleb Poulter,13.5,0,0.2,0.42857142857142855,0.5
Caleb Poulter,14.5,0,0.2,0.42857142857142855,0.5
Caleb Poulter,15.5,0,0.2,0.42857142857142855,0.5
Caleb Poulter,16.5,0,0.2,0.42857142857142855,0.5
Caleb Poulter,17.5,0,0,0.28571428571428575,0.2
Caleb Poulter,18.5,0,0,0.28571428571428575,0.2
Caleb Poulter,19.5,0,0,0.28571428571428575,0.2
Caleb Poulter,20.5,0,0,0.14285714285714288,0.1
Caleb Poulter,21.5,0,0,0.14285714285714288,0.1
Caleb Poulter,22.5,0,0,0.14285714285714288,0.1
Caleb Poulter,23.5,0,0,0,0
Caleb Poulter,24.5,0,0,0,0
Caleb Poulter,25.5,0,0,0,0
Caleb Poulter,26.5,0,0,0,0
Caleb Poulter,27.5,0,0,0,0
Caleb Serong,19.5,1,0.6,0.7142857142857143,0.8
Caleb Serong,24.5,0.6666666666666666,0.4,0.5714285714285714,0.7
Caleb Serong,29.5,0.33333333333333337,0.2,0.42857142857142855,0.4
Caleb Serong,34.5,0.33333333333333337,0.2,0.42857142857142855,0.4
Caleb Serong,39.5,0,0,0,0
Caleb Windsor,9.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Caleb Windsor,14.5,0.33333333333333337,0.2,0.2857142857142857,0.4
Caleb Windsor,19.5,0,0,0.14285714285714288,0.3
Caleb Windsor,24.5,0,0,0,0
Caleb Windsor,29.5,0,0,0,0
Caleb Windsor,34.5,0,0,0,0
Caleb Windsor,39.5,0,0,0,0
Callum Ah Chee,9.5,1,1,1,0.9
Callum Ah Chee,14.5,1,0.8,0.5714285714285714,0.5
Callum Ah Chee,19.5,0,0,0,0.1
Callum Ah Chee,24.5,0,0,0,0
Callum Brown,9.5,1,1,1,0.9
Callum Brown,10.5,1,1,1,0.9
Callum Brown,11.5,0.6666666666666666,0.8,0.7142857142857143,0.7
Callum Brown,12.5,0.33333333333333337,0.4,0.42857142857142855,0.5
Callum Brown,13.5,0.33333333333333337,0.4,0.2857142857142857,0.4
Callum Brown,14.5,0.33333333333333337,0.4,0.2857142857142857,0.3
Callum Brown,15.5,0,0.2,0.14285714285714288,0.2
Callum Brown,16.5,0,0,0,0.10000000000000002
Callum Brown,17.5,0,0,0,0.10000000000000002
Callum Brown,18.5,0,0,0,0.10000000000000002
Callum Brown,19.5,0,0,0,0
Callum Brown,20.5,0,0,0,0
Callum Brown,21.5,0,0,0,0
Callum Brown,22.5,0,0,0,0
Callum Mills,14.5,1,1,1,1
Callum Mills,19.5,0.6666666666666666,0.8,0.8571428571428571,0.7
Callum Mills,24.5,0.33333333333333337,0.4,0.5714285714285714,0.5
Callum Mills,29.5,0,0,0,0
Callum Mills,34.5,0,0,0,0
Callum Wilkie,9.5,1,0.8,0.8571428571428571,0.9
