match,round,home_team,away_team,start_time,venue
West Coast Eagles v Collingwood Magpies,Round 22,West Coast Eagles,Collingwood Magpies,2026-08-09T06:10:00Z,Optus Stadium
St Kilda Saints v Carlton,Round 22,St Kilda Saints,Carlton,2026-08-09T09:20:00Z,Marvel Stadium
Brisbane Lions v Gold Coast Suns,Round 23,Brisbane Lions,Gold Coast Suns,2026-08-10T02:00:00Z,Gabba
Essendon Bombers v Sydney Swans,Round 23,Essendon Bombers,Sydney Swans,2026-08-10T02:00:00Z,MCG
GWS Giants v West Coast Eagles,Round 23,GWS Giants,West Coast Eagles,2026-08-10T02:00:00Z,ENGIE Stadium
Hawthorn Hawks v Collingwood Magpies,Round 23,Hawthorn Hawks,Collingwood Magpies,2026-08-10T02:00:00Z,MCG
North Melbourne Kangaroos v Geelong Cats,Round 23,North Melbourne Kangaroos,Geelong Cats,2026-08-10T02:00:00Z,Marvel Stadium
Richmond Tigers v St Kilda Saints,Round 23,Richmond Tigers,St Kilda Saints,2026-08-10T02:00:00Z,MCG
Western Bulldogs v Carlton,Round 23,Western Bulldogs,Carlton,2026-08-10T02:00:00Z,Marvel Stadium
Port Adelaide Power v Melbourne Demons,Round 23,Port Adelaide Power,Melbourne Demons,2026-08-10T02:30:00Z,Adelaide Oval
Fremantle Dockers v Adelaide Crows,Round 23,Fremantle Dockers,Adelaide Crows,2026-08-10T04:00:00Z,Optus Stadium
Collingwood Magpies v Brisbane Lions,Round 24,Collingwood Magpies,Brisbane Lions,2026-08-17T02:00:00Z,MCG
Carlton v Fremantle Dockers,Round 24,Carlton,Fremantle Dockers,2026-08-17T02:00:00Z,Marvel Stadium
Essendon Bombers v Port Adelaide Power,Round 24,Essendon Bombers,Port Adelaide Power,2026-08-17T02:00:00Z,Marvel Stadium
Geelong Cats v Richmond Tigers,Round 24,Geelong Cats,Richmond Tigers,2026-08-17T02:00:00Z,GMHBA Stadium
Melbourne Demons v Western Bulldogs,Round 24,Melbourne Demons,Western Bulldogs,2026-08-17T02:00:00Z,MCG
St Kilda Saints v Gold Coast Suns,Round 24,St Kilda Saints,Gold Coast Suns,2026-08-17T02:00:00Z,Marvel Stadium
Sydney Swans v North Melbourne Kangaroos,Round 24,Sydney Swans,North Melbourne Kangaroos,2026-08-17T02:00:00Z,SCG
Adelaide Crows v GWS Giants,Round 24,Adelaide Crows,GWS Giants,2026-08-17T02:30:00Z,Adelaide Oval
West Coast Eagles v Hawthorn Hawks,Round 24,West Coast Eagles,Hawthorn Hawks,2026-08-17T04:00:00Z,Optus Stadium
