player_name,stat,median_diff,games_home,games_away
Charlie Spargo,disposals,-1,15,14
Cody Curtin,disposals,-1,3,1
Darcy Wilmot,disposals,-1,23,27
Dayne Zorko,disposals,-1,19,21
Ed Langdon,disposals,-1,23,23
Esava Ratugolea,disposals,-1,12,9
Ethan Read,disposals,-1,15,21
Harrison Ramm,disposals,-1,4,3
Harvey Thomas,disposals,-1,21,19
Hugo Garcia,disposals,-1,20,20
Isaac Quaynor,disposals,-1,23,22
Jack Ginnivan,disposals,-1,23,24
Jack Graham,disposals,-1,16,15
Jack Hutchinson,disposals,-1,11,11
Jack Sinclair,disposals,-1,19,19
Jaeger O'Meara,disposals,-1,9,11
Jay Polkinghorne,disposals,-1,3,3
Jeremy Sharp,disposals,-1,7,9
Jordan Croft,disposals,-1,10,9
Joshua Draper,disposals,-1,4,7
Kade Chandler,disposals,-1,23,22
Lawson Humphries,disposals,-1,25,22
Liam O'Connell,disposals,-1,11,9
Marc Pittonet,disposals,-1,14,13
Matt Whitlock,disposals,-1,4,1
Matthew Kennedy,disposals,-1,23,23
Max Gawn,disposals,-1,23,23
Michael Frederick,disposals,-1,21,21
Michael Sellwood,disposals,-1,11,12
Mitch Lewis,disposals,-1,15,15
Mitch Zadow,disposals,-1,5,4
Ned Long,disposals,-1,24,22
Neil Erasmus,disposals,-1,20,19
Nick Haynes,disposals,-1,20,21
Nick Larkey,disposals,-1,21,19
Oisin Mullin,disposals,-1,25,23
Patrick Cripps,disposals,-1,23,23
Patrick Voss,disposals,-1,21,21
Sam Draper,disposals,-1,12,15
Sam Marshall,disposals,-1,6,7
Sam Switkowski,disposals,-1,18,21
Shaun Mannagh,disposals,-1,25,21
Thomas Edwards,disposals,-1,5,4
Tim Kelly,disposals,-1,22,19
Toby Pink,disposals,-1,11,11
Tom Cole,disposals,-1,16,19
Tom De Koning,disposals,-1,22,20
Tom Papley,disposals,-1,15,14
Touk Miller,disposals,-1,21,25
Will Hoskin-Elliott,disposals,-1,9,9
William Hayes,disposals,-1,3,8
Zach Guthrie,disposals,-1,26,23
Alix Tauru,disposals,-1.5,4,5
Andrew McGrath,disposals,-1.5,22,21
Bailey Laurie,disposals,-1.5,11,6
Bailey Smith,disposals,-1.5,24,21
Brandon Zerk-Thatcher,disposals,-1.5,9,8
Caleb Poulter,disposals,-1.5,2,5
Caleb Serong,disposals,-1.5,22,22
Daniel McStay,disposals,-1.5,21,20
Elijah Hewett,disposals,-1.5,12,14
Isaiah Dudley,disposals,-1.5,20,19
Jai Murray,disposals,-1.5,5,4
Jayden Laverde,disposals,-1.5,16,17
Jeremy McGovern,disposals,-1.5,4,2
Karl Amon,disposals,-1.5,18,25
Kysaiah Pickett,disposals,-1.5,21,22
Lachie Whitfield,disposals,-1.5,22,22
Liam McMahon,disposals,-1.5,4,3
Logan Morris,disposals,-1.5,22,26
Luke Breust,disposals,-1.5,4,4
Matthew Owies,disposals,-1.5,9,10
Mitchell Edwards,disposals,-1.5,10,8
Oliver Florent,disposals,-1.5,19,20
Riley Bice,disposals,-1.5,16,20
Robert Hansen Jr,disposals,-1.5,6,6
Rory Laird,disposals,-1.5,22,18
Sam Day,disposals,-1.5,7,6
Sam Grlj,disposals,-1.5,9,12
Sullivan Robey,disposals,-1.5,7,8
Tom Stewart,disposals,-1.5,23,18
Will White,disposals,-1.5,6,8
Arthur Jones,disposals,-2,13,9
Billy Wilson,disposals,-2,9,10
Bodie Ryan,disposals,-2,3,2
Brayden Fiorini,disposals,-2,11,10
Callum Ah Chee,disposals,-2,15,18
Christian Moraes,disposals,-2,14,12
Darcy Moore,disposals,-2,14,12
Francis Evans,disposals,-2,15,16
Harry O'Farrell,disposals,-2,4,2
Harry Schoenberg,disposals,-2,4,2
Hugh Bond,disposals,-2,6,6
Hugh Boxshall,disposals,-2,10,11
Jack Crisp,disposals,-2,25,23
Jack Ross,disposals,-2,20,22
Jack Viney,disposals,-2,8,10
Jake Stringer,disposals,-2,19,19
James Trezise,disposals,-2,17,13
James Tunstill,disposals,-2,7,7
Joe Fonti,disposals,-2,20,19
Jonty Faull,disposals,-2,12,14
Kaleb Smith,disposals,-2,3,5
Kamdyn McIntosh,disposals,-2,12,11
Lachie Jaques,disposals,-2,7,3
Lachlan McAndrew,disposals,-2,11,11
Lincoln McCarthy,disposals,-2,3,5
Lloyd Meek,disposals,-2,23,25
Luke Cleary,disposals,-2,11,7
Luke Kennedy,disposals,-2,3,3
Matt Rowell,disposals,-2,18,25
Nathan Broad,disposals,-2,23,20
Nik Cox,disposals,-2,4,4
Oliver Hollands,disposals,-2,19,16
Riley Garcia,disposals,-2,4,4
Riley Thilthorpe,disposals,-2,24,21
Sam Flanders,disposals,-2,16,19
Toby McMullin,disposals,-2,8,11
Todd Marshall,disposals,-2,7,8
Tom Atkins,disposals,-2,26,23
Tom Liberatore,disposals,-2,17,17
Tom Powell,disposals,-2,16,15
Will Day,disposals,-2,9,8
Will Phillips,disposals,-2,2,5
Willem Drew,disposals,-2,24,21
William Edwards,disposals,-2,6,8
Blake Acres,disposals,-2.5,14,15
Braeden Campbell,disposals,-2.5,14,15
Brayden Maynard,disposals,-2.5,18,19
Campbell Chesser,disposals,-2.5,4,3
Charlie Ballard,disposals,-2.5,2,10
Charlie West,disposals,-2.5,5,4
Connor Idun,disposals,-2.5,24,23
Cooper Hynes,disposals,-2.5,13,16
Darcy Gardiner,disposals,-2.5,14,16
Jake Lloyd,disposals,-2.5,23,22
Jaxon Artemis,disposals,-2.5,4,2
Lachie Neale,disposals,-2.5,20,25
Luke Parker,disposals,-2.5,23,22
Malakai Champion,disposals,-2.5,6,4
Orazio Fantasia,disposals,-2.5,4,2
Wil Parker,disposals,-2.5,2,7
Zac Taylor,disposals,-2.5,22,16
Bobby Hill,disposals,-3,9,5
Cameron Nairn,disposals,-3,2,2
Chayce Jones,disposals,-3,5,3
Connor O'Sullivan,disposals,-3,25,23
Corey Durdin,disposals,-3,20,19
Corey Warner,disposals,-3,9,10
Darcy Parish,disposals,-3,7,10
David Swallow,disposals,-3,3,6
Jacob Bauer,disposals,-3,3,2
Jake Lever,disposals,-3,15,15
Jake Rogers,disposals,-3,7,11
Jamie Elliott,disposals,-3,18,18
Jobe Shanahan,disposals,-3,15,17
Jordan Boyd,disposals,-3,1,4
Jye Menzie,disposals,-3,5,5
Lachie Fogarty,disposals,-3,13,9
Matthew Jefferson,disposals,-3,11,12
Max Hall,disposals,-3,23,23
Miles Bergman,disposals,-3,18,17
Nic Martin,disposals,-3,7,9
Nicholas Madden,disposals,-3,7,5
Nick Murray,disposals,-3,14,9
Nick Vlastuin,disposals,-3,22,22
Oscar Steene,disposals,-3,3,5
Ryley Sanders,disposals,-3,20,22
Ted Clohesy,disposals,-3,5,4
Tom Burton,disposals,-3,3,2
Willem Duursma,disposals,-3,11,11
Flynn Young,disposals,-3.5,6,5
Kane McAuliffe,disposals,-3.5,8,7
Sam Cumming,disposals,-3.5,8,6
Tom Sparrow,disposals,-3.5,23,22
Alex Cincotta,disposals,-4,3,2
Angus Anderson,disposals,-4,7,9
Errol Gulden,disposals,-4,11,10
Jack Dalton,disposals,-4,4,1
Jeremy Howe,disposals,-4,19,17
Jordon Sweet,disposals,-4,22,19
Louis Emmett,disposals,-4,3,4
Nick Daicos,disposals,-4,25,22
Oleg Markov,disposals,-4,3,5
Reilly O'Brien,disposals,-4,16,11
Roan Steele,disposals,-4,11,12
Ryan Maric,disposals,-4,14,20
Scott Pendlebury,disposals,-4,23,16
Taj Hotton,disposals,-4,9,8
Jack Payne,disposals,-4.5,7,6
James Borlase,disposals,-4.5,10,9
Jordan Dawson,disposals,-4.5,24,21
Liam Reidy,disposals,-4.5,1,4
Phoenix Gothard,disposals,-4.5,8,8
Callan Ward,disposals,-5,5,7
Cody Angove,disposals,-5,3,2
Jeremy Finlayson,disposals,-5,4,4
Josh Kelly,disposals,-5,9,6
Rowan Marshall,disposals,-5,23,21
Samson Ryan,disposals,-5,4,4
Will Graham,disposals,-5,10,10
James Harmes,disposals,-5.5,7,6
Oliver Greeves,disposals,-5.5,2,2
William McCabe,disposals,-5.5,2,2
Josh Goater,disposals,-6,3,3
Mitch Duncan,disposals,-6,5,4
Sam Swadling,disposals,-6,5,3
Tom Anastasopoulos,disposals,-6,2,3
Vigo Visentini,disposals,-6.5,3,2
Lachlan Murphy,disposals,-7,2,3
