match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Cooper Lord,Carlton,1.5,1.01,Pointsbet,Melbourne Demons,2860314,114104349,181
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Cooper Lord,Carlton,3.5,1.14,Pointsbet,Melbourne Demons,2860314,114104349,182
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Cooper Lord,Carlton,5.5,1.69,Pointsbet,Melbourne Demons,2860314,114104349,183
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Cooper Lord,Carlton,7.5,3.1,Pointsbet,Melbourne Demons,2860314,114104349,184
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Cooper Lord,Carlton,9.5,6.5,Pointsbet,Melbourne Demons,2860314,114104349,185
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,George Hewett,Carlton,3.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,187
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,George Hewett,Carlton,5.5,1.48,Pointsbet,Melbourne Demons,2860314,114104349,188
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,George Hewett,Carlton,7.5,2.5,Pointsbet,Melbourne Demons,2860314,114104349,189
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,George Hewett,Carlton,9.5,5.25,Pointsbet,Melbourne Demons,2860314,114104349,190
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Blake Acres,Carlton,3.5,1.08,Pointsbet,Melbourne Demons,2860314,114104349,192
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Blake Acres,Carlton,5.5,1.44,Pointsbet,Melbourne Demons,2860314,114104349,193
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Blake Acres,Carlton,7.5,2.45,Pointsbet,Melbourne Demons,2860314,114104349,194
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Blake Acres,Carlton,9.5,5.25,Pointsbet,Melbourne Demons,2860314,114104349,195
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Mitch McGovern,Carlton,1.5,1.01,Pointsbet,Melbourne Demons,2860314,114104349,196
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Mitch McGovern,Carlton,3.5,1.18,Pointsbet,Melbourne Demons,2860314,114104349,197
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Mitch McGovern,Carlton,5.5,1.87,Pointsbet,Melbourne Demons,2860314,114104349,198
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Mitch McGovern,Carlton,7.5,4.1,Pointsbet,Melbourne Demons,2860314,114104349,199
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Mitch McGovern,Carlton,9.5,11,Pointsbet,Melbourne Demons,2860314,114104349,200
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Marc Pittonet,Carlton,1.5,1.42,Pointsbet,Melbourne Demons,2860314,114104349,201
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Marc Pittonet,Carlton,3.5,3.5,Pointsbet,Melbourne Demons,2860314,114104349,202
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Marc Pittonet,Carlton,5.5,11.5,Pointsbet,Melbourne Demons,2860314,114104349,203
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Patrick Cripps,Carlton,1.5,1.18,Pointsbet,Melbourne Demons,2860314,114104349,206
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Patrick Cripps,Carlton,3.5,2.15,Pointsbet,Melbourne Demons,2860314,114104349,207
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Patrick Cripps,Carlton,5.5,5.25,Pointsbet,Melbourne Demons,2860314,114104349,208
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jacob Weitering,Carlton,3.5,1.01,Pointsbet,Melbourne Demons,2860314,114104349,212
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jacob Weitering,Carlton,5.5,1.13,Pointsbet,Melbourne Demons,2860314,114104349,213
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jacob Weitering,Carlton,7.5,1.53,Pointsbet,Melbourne Demons,2860314,114104349,214
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jacob Weitering,Carlton,9.5,2.65,Pointsbet,Melbourne Demons,2860314,114104349,215
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Dean,Carlton,3.5,1.08,Pointsbet,Melbourne Demons,2860314,114104349,222
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Dean,Carlton,5.5,1.48,Pointsbet,Melbourne Demons,2860314,114104349,223
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Dean,Carlton,7.5,2.6,Pointsbet,Melbourne Demons,2860314,114104349,224
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Harry Dean,Carlton,9.5,5.75,Pointsbet,Melbourne Demons,2860314,114104349,225
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Talor Byrne,Carlton,1.5,1.09,Pointsbet,Melbourne Demons,2860314,114104349,226
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Talor Byrne,Carlton,3.5,1.77,Pointsbet,Melbourne Demons,2860314,114104349,227
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Talor Byrne,Carlton,5.5,4.3,Pointsbet,Melbourne Demons,2860314,114104349,228
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Talor Byrne,Carlton,7.5,13,Pointsbet,Melbourne Demons,2860314,114104349,229
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Viney,Melbourne Demons,1.5,1.31,Pointsbet,Carlton,2860314,114104349,231
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Viney,Melbourne Demons,3.5,2.85,Pointsbet,Carlton,2860314,114104349,232
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jack Viney,Melbourne Demons,5.5,8,Pointsbet,Carlton,2860314,114104349,233
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Melksham,Melbourne Demons,1.5,1.13,Pointsbet,Carlton,2860314,114104349,236
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Melksham,Melbourne Demons,3.5,2,Pointsbet,Carlton,2860314,114104349,237
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Jake Melksham,Melbourne Demons,5.5,5.25,Pointsbet,Carlton,2860314,114104349,238
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Nick Haynes,Carlton,3.5,1.01,Pointsbet,Melbourne Demons,2860314,114104349,242
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Nick Haynes,Carlton,5.5,1.1,Pointsbet,Melbourne Demons,2860314,114104349,243
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Nick Haynes,Carlton,7.5,1.42,Pointsbet,Melbourne Demons,2860314,114104349,244
Melbourne Demons v Carlton,Melbourne Demons,Carlton,Player Marks,Nick Haynes,Carlton,9.5,2.3,Pointsbet,Melbourne Demons,2860314,114104349,245
