match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_id,fixed_market_id
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Chad Warner,Sydney Swans,109.5,2.35,BetRight,North Melbourne Kangaroos,Fantasy Points - Chad Warner,47667709,110+ Fantasy Points,4,267813953
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Chad Warner,Sydney Swans,119.5,4,BetRight,North Melbourne Kangaroos,Fantasy Points - Chad Warner,47667709,120+ Fantasy Points,5,267813954
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Callum Mills,Sydney Swans,79.5,1.2,BetRight,North Melbourne Kangaroos,Fantasy Points - Callum Mills,47667710,80+ Fantasy Points,1,267813955
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Callum Mills,Sydney Swans,89.5,1.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Callum Mills,47667710,90+ Fantasy Points,2,267813956
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Callum Mills,Sydney Swans,99.5,1.8,BetRight,North Melbourne Kangaroos,Fantasy Points - Callum Mills,47667710,100+ Fantasy Points,3,267813957
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Callum Mills,Sydney Swans,109.5,2.35,BetRight,North Melbourne Kangaroos,Fantasy Points - Callum Mills,47667710,110+ Fantasy Points,4,267813958
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Callum Mills,Sydney Swans,119.5,4,BetRight,North Melbourne Kangaroos,Fantasy Points - Callum Mills,47667710,120+ Fantasy Points,5,267813959
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Matt Roberts,Sydney Swans,79.5,1.35,BetRight,North Melbourne Kangaroos,Fantasy Points - Matt Roberts,47667711,80+ Fantasy Points,1,267813960
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Matt Roberts,Sydney Swans,89.5,1.85,BetRight,North Melbourne Kangaroos,Fantasy Points - Matt Roberts,47667711,90+ Fantasy Points,2,267813961
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Matt Roberts,Sydney Swans,99.5,2.4,BetRight,North Melbourne Kangaroos,Fantasy Points - Matt Roberts,47667711,100+ Fantasy Points,3,267813962
Sydney Swans v North Melbourne Kangaroos,Sydney Swans,North Melbourne Kangaroos,Player Fantasy Points,Matt Roberts,Sydney Swans,109.5,3.75,BetRight,North Melbourne Kangaroos,Fantasy Points - Matt Roberts,47667711,110+ Fantasy Points,4,267813963
