player_full_name,position,position_source
Harley Barker,MIDFIELDER,fitzroy_player_details
Harley Reid,MIDFIELDER,fitzroy_player_details
Harris Andrews,KEY_DEFENDER,fitzroy_player_details
Harrison Coe,RUCK,fitzroy_player_details
Harrison Jones,MEDIUM_DEFENDER,fitzroy_player_details
Harrison Oliver,MEDIUM_DEFENDER,fitzroy_player_details
Harrison Petty,KEY_DEFENDER,fitzroy_player_details
Harrison Ramm,KEY_DEFENDER,fitzroy_player_details
Harry Armstrong,KEY_FORWARD,fitzroy_player_details
Harry Barnett,RUCK,fitzroy_player_details
Harry Charleson,MEDIUM_DEFENDER,fitzroy_player_details
Harry Cunningham,MEDIUM_DEFENDER,fitzroy_player_details
Harry DeMattia,MIDFIELDER,fitzroy_player_details
Harry Dean,KEY_DEFENDER,fitzroy_player_details
Harry Edwards,KEY_DEFENDER,fitzroy_player_details
Harry Himmelberg,MEDIUM_DEFENDER,fitzroy_player_details
Harry Kyle,MEDIUM_DEFENDER,fitzroy_player_details
Harry McKay,KEY_FORWARD,fitzroy_player_details
Harry Morrison,MIDFIELDER,fitzroy_player_details
Harry O'Farrell,KEY_DEFENDER,fitzroy_player_details
Harry Perryman,MEDIUM_DEFENDER,fitzroy_player_details
Harry Rowston,MIDFIELDER_FORWARD,fitzroy_player_details
Harry Schoenberg,MEDIUM_FORWARD,fitzroy_player_details
Harry Sharp,MEDIUM_FORWARD,fitzroy_player_details
Harry Sheezel,MIDFIELDER,fitzroy_player_details
Harvey Gallagher,MIDFIELDER,fitzroy_player_details
Harvey Harrison,MEDIUM_FORWARD,fitzroy_player_details
Harvey Johnston,MEDIUM_FORWARD,fitzroy_player_details
Harvey Langford,MIDFIELDER,fitzroy_player_details
Harvey Thomas,MIDFIELDER,fitzroy_player_details
Hayden McLean,KEY_FORWARD,fitzroy_player_details
Hayden Young,MIDFIELDER,fitzroy_player_details
Heath Chapman,MEDIUM_DEFENDER,fitzroy_player_details
Henry Hustwaite,MIDFIELDER,fitzroy_player_details
Henry Smith,RUCK,fitzroy_player_details
Hudson O'Keeffe,RUCK,fitzroy_player_details
Hugh Bond,MEDIUM_DEFENDER,fitzroy_player_details
Hugh Boxshall,MIDFIELDER,fitzroy_player_details
Hugh Davies,KEY_DEFENDER,fitzroy_player_details
Hugh McCluggage,MIDFIELDER,fitzroy_player_details
Hugo Garcia,MIDFIELDER,fitzroy_player_details
Hugo Hall-Kahan,MEDIUM_DEFENDER,fitzroy_player_details
Hugo Mikunda,MEDIUM_DEFENDER,fitzroy_player_details
Hugo Ralphsmith,MIDFIELDER,fitzroy_player_details
Hunter Clark,MEDIUM_DEFENDER,fitzroy_player_details
Hunter Holmes,MIDFIELDER,fitzroy_player_details
Hussien El Achkar,MEDIUM_FORWARD,fitzroy_player_details
Iliro Smit,RUCK,fitzroy_player_details
Indy Cotton,KEY_DEFENDER,fitzroy_player_details
Isaac Cumming,MIDFIELDER,fitzroy_player_details
Isaac Heeney,MIDFIELDER,fitzroy_player_details
Isaac Kako,MEDIUM_FORWARD,fitzroy_player_details
Isaac Keeler,KEY_FORWARD,fitzroy_player_details
Isaac Quaynor,MEDIUM_DEFENDER,fitzroy_player_details
Isaiah Dudley,MEDIUM_FORWARD,fitzroy_player_details
Ivan Soldo,RUCK,fitzroy_player_details
Izak Rankine,MIDFIELDER_FORWARD,fitzroy_player_details
Jack Bowes,MIDFIELDER,fitzroy_player_details
Jack Buckley,KEY_DEFENDER,fitzroy_player_details
Jack Buller,KEY_FORWARD,fitzroy_player_details
Jack Carroll,MEDIUM_DEFENDER,fitzroy_player_details
Jack Crisp,MIDFIELDER,fitzroy_player_details
Jack Dalton,MEDIUM_FORWARD,fitzroy_player_details
Jack Darling,KEY_FORWARD,fitzroy_player_details
Jack Ginnivan,MEDIUM_FORWARD,fitzroy_player_details
Jack Graham,MIDFIELDER_FORWARD,fitzroy_player_details
Jack Gunston,KEY_FORWARD,fitzroy_player_details
Jack Henderson,MIDFIELDER,fitzroy_player_details
Jack Henry,KEY_DEFENDER,fitzroy_player_details
Jack Higgins,MEDIUM_FORWARD,fitzroy_player_details
Jack Hutchinson,MEDIUM_FORWARD,fitzroy_player_details
Jack Ison,MEDIUM_FORWARD,fitzroy_player_details
Jack Lukosius,MIDFIELDER_FORWARD,fitzroy_player_details
Jack Macrae,MIDFIELDER,fitzroy_player_details
Jack Martin,MEDIUM_FORWARD,fitzroy_player_details
Jack Ough,MIDFIELDER,fitzroy_player_details
Jack Payne,KEY_DEFENDER,fitzroy_player_details
Jack Ross,MIDFIELDER,fitzroy_player_details
Jack Scrimshaw,KEY_DEFENDER,fitzroy_player_details
Jack Silvagni,KEY_DEFENDER,fitzroy_player_details
Jack Sinclair,MEDIUM_DEFENDER,fitzroy_player_details
Jack Steele,MIDFIELDER,fitzroy_player_details
Jack Viney,MIDFIELDER,fitzroy_player_details
Jack Watkins,MIDFIELDER_FORWARD,fitzroy_player_details
Jack Whitlock,KEY_FORWARD,fitzroy_player_details
Jack Williams,KEY_FORWARD,fitzroy_player_details
Jackson Archer,MEDIUM_DEFENDER,fitzroy_player_details
Jackson Mead,MIDFIELDER_FORWARD,fitzroy_player_details
Jacob Farrow,MEDIUM_DEFENDER,fitzroy_player_details
Jacob Hopper,MIDFIELDER,fitzroy_player_details
Jacob Konstanty,MEDIUM_FORWARD,fitzroy_player_details
Jacob Molier,KEY_FORWARD,fitzroy_player_details
Jacob Moss,KEY_FORWARD,fitzroy_player_details
Jacob Newton,MEDIUM_FORWARD,fitzroy_player_details
Jacob Wehr,MIDFIELDER,fitzroy_player_details
Jacob Weitering,KEY_DEFENDER,fitzroy_player_details
Jacob van Rooyen,KEY_FORWARD,fitzroy_player_details
Jade Gresham,MEDIUM_FORWARD,fitzroy_player_details
Jaeger O'Meara,MIDFIELDER,fitzroy_player_details
Jagga Smith,MIDFIELDER,fitzroy_player_details
Jai Culley,MIDFIELDER,fitzroy_player_details
Jai Murray,MIDFIELDER,fitzroy_player_details
Jai Newcombe,MIDFIELDER,fitzroy_player_details
Jai Saxena,MEDIUM_FORWARD,fitzroy_player_details
Jai Serong,MIDFIELDER,fitzroy_player_details
Jaime Uhr-Henry,RUCK,fitzroy_player_details
Jake Bowey,MEDIUM_DEFENDER,fitzroy_player_details
Jake Kolodjashnij,KEY_DEFENDER,fitzroy_player_details
Jake Lever,KEY_DEFENDER,fitzroy_player_details
Jake Lloyd,MIDFIELDER_FORWARD,fitzroy_player_details
Jake Melksham,MEDIUM_FORWARD,fitzroy_player_details
Jake Miles-Wrency,KEY_DEFENDER,fitzroy_player_details
Jake Riccardi,KEY_FORWARD,fitzroy_player_details
Jake Rogers,MEDIUM_FORWARD,fitzroy_player_details
Jake Soligo,MIDFIELDER_FORWARD,fitzroy_player_details
Jake Stringer,KEY_FORWARD,fitzroy_player_details
Jake Waterman,KEY_FORWARD,fitzroy_player_details
Jakob Ryan,MEDIUM_DEFENDER,fitzroy_player_details
Jamarra Ugle-Hagan,KEY_FORWARD,fitzroy_player_details
James Barrat,KEY_DEFENDER,fitzroy_player_details
James Blanck,KEY_DEFENDER,fitzroy_player_details
James Borlase,KEY_DEFENDER,fitzroy_player_details
James Harmes,MIDFIELDER,fitzroy_player_details
James Jordon,MIDFIELDER,fitzroy_player_details
James Leake,MEDIUM_DEFENDER,fitzroy_player_details
James O'Donnell,KEY_DEFENDER,fitzroy_player_details
James Peatling,MIDFIELDER,fitzroy_player_details
James Rowbottom,MIDFIELDER_FORWARD,fitzroy_player_details
James Sicily,KEY_DEFENDER,fitzroy_player_details
James Trezise,MEDIUM_DEFENDER,fitzroy_player_details
James Tunstill,MIDFIELDER,fitzroy_player_details
James Worpel,MIDFIELDER,fitzroy_player_details
Jamie Cripps,MEDIUM_FORWARD,fitzroy_player_details
Jamie Elliott,MEDIUM_FORWARD,fitzroy_player_details
Jaren Carr,MIDFIELDER,fitzroy_player_details
Jarman Impey,MEDIUM_DEFENDER,fitzroy_player_details
Jarrod Berry,MIDFIELDER,fitzroy_player_details
Jarrod Witts,RUCK,fitzroy_player_details
Jase Burgoyne,MIDFIELDER,fitzroy_player_details
