player_full_name,position
Lachie Fogarty,MEDIUM_FORWARD
Adam Cerra,MIDFIELDER
Jordan Boyd,MEDIUM_DEFENDER
Tom De Koning,RUCK
Sam Walsh,MIDFIELDER
Matthew Cottrell,MIDFIELDER_FORWARD
Corey Durdin,MEDIUM_FORWARD
Brodie Kemp,KEY_FORWARD
Elijah Hollands,MEDIUM_FORWARD
Alex Cincotta,MIDFIELDER
Francis Evans,MEDIUM_FORWARD
Jesse Motlop,MEDIUM_FORWARD
Harry Lemmey,KEY_FORWARD
Ashton Moir,MEDIUM_FORWARD
Flynn Young,MEDIUM_FORWARD
Lachlan Cowan,MEDIUM_DEFENDER
Lucas Camporeale,MIDFIELDER
Hudson O'Keeffe,RUCK
Oliver Hollands,MEDIUM_DEFENDER
Jaxon Binns,MIDFIELDER
Ben Camporeale,MIDFIELDER
Billy Wilson,MEDIUM_DEFENDER
Will White,MEDIUM_FORWARD
Matthew Carroll,MEDIUM_DEFENDER
Harry Charleson,MEDIUM_DEFENDER
Jagga Smith,MIDFIELDER
Harry O'Farrell,KEY_DEFENDER
Cooper Lord,MIDFIELDER_FORWARD
Rob Monahan,MEDIUM_DEFENDER
Matt Duffy,MEDIUM_DEFENDER
George Hewett,MIDFIELDER
Zac Williams,MEDIUM_FORWARD
Nick Haynes,MEDIUM_DEFENDER
Adam Saad,MEDIUM_DEFENDER
Sam Docherty,MIDFIELDER
Blake Acres,MIDFIELDER
Orazio Fantasia,MEDIUM_FORWARD
Mitch McGovern,MEDIUM_DEFENDER
Nic Newman,MEDIUM_DEFENDER
Marc Pittonet,RUCK
Patrick Cripps,MIDFIELDER
Jacob Weitering,KEY_DEFENDER
Charlie Curnow,KEY_FORWARD
Lewis Young,KEY_FORWARD
Callum Coleman-Jones,KEY_FORWARD
Nick Larkey,KEY_FORWARD
Toby Pink,KEY_DEFENDER
Luke Davies-Uniacke,MIDFIELDER
Paul Curtis,MEDIUM_FORWARD
Dylan Stephens,MIDFIELDER
Tristan Xerri,RUCK
Bailey Scott,MIDFIELDER
Brynn Teakle,RUCK
Tom Powell,MIDFIELDER
Kallan Dawson,KEY_DEFENDER
Will Phillips,MIDFIELDER
Eddie Ford,MIDFIELDER_FORWARD
Charlie Comben,KEY_DEFENDER
Miller Bergman,MEDIUM_DEFENDER
Josh Goater,MEDIUM_DEFENDER
Zac Banch,MEDIUM_FORWARD
Jackson Archer,MEDIUM_DEFENDER
Cooper Harvey,MEDIUM_FORWARD
Robert Hansen Jr,MIDFIELDER_FORWARD
George Wardlaw,MIDFIELDER
Zane Duursma,MEDIUM_FORWARD
Harry Sheezel,MIDFIELDER
Jacob Konstanty,MEDIUM_FORWARD
Brayden George,MEDIUM_FORWARD
Riley Hardeman,MEDIUM_DEFENDER
Colby McKercher,MIDFIELDER_FORWARD
Geordie Payne,MEDIUM_FORWARD
Finn O'Sullivan,MEDIUM_DEFENDER
Matt Whitlock,KEY_DEFENDER
Wil Dawson,KEY_DEFENDER
Luke Urquhart,MIDFIELDER_FORWARD
Taylor Goad,RUCK
Finnbar Maley,KEY_FORWARD
Cooper Trembath,KEY_DEFENDER
River Stevens,MEDIUM_FORWARD
Luke Parker,MIDFIELDER
Jack Darling,KEY_FORWARD
Aidan Corr,KEY_DEFENDER
Caleb Daniel,MEDIUM_DEFENDER
Luke McDonald,MEDIUM_DEFENDER
Darcy Tucker,MEDIUM_DEFENDER
Jy Simpkin,MIDFIELDER_FORWARD
Griffin Logue,KEY_DEFENDER
Cameron Zurhaar,MEDIUM_FORWARD
Zac Fisher,MEDIUM_DEFENDER
Willem Drew,MIDFIELDER
Connor Rozee,MEDIUM_DEFENDER
Esava Ratugolea,KEY_DEFENDER
Kane Farrell,MEDIUM_DEFENDER
Brandon Zerk-Thatcher,KEY_DEFENDER
Jack Lukosius,KEY_FORWARD
Jed McEntee,MEDIUM_FORWARD
Todd Marshall,KEY_FORWARD
Jackson Mead,MIDFIELDER_FORWARD
Zak Butters,MIDFIELDER
Joe Richards,MEDIUM_FORWARD
Mani Liddy,MIDFIELDER
Miles Bergman,MEDIUM_DEFENDER
Dylan Williams,MEDIUM_DEFENDER
Mitch Georgiades,KEY_FORWARD
Lachie Jones,MEDIUM_DEFENDER
Jason Horne-Francis,MIDFIELDER
Ollie Lord,KEY_FORWARD
Jase Burgoyne,MIDFIELDER
Lachlan Charleson,MEDIUM_FORWARD
Hugh Jackson,MIDFIELDER
Josh Sinn,MEDIUM_DEFENDER
Dante Visentini,RUCK
Logan Evans,MEDIUM_DEFENDER
Tom Cochrane,MEDIUM_FORWARD
Benny Barrett,MIDFIELDER_FORWARD
Harrison Ramm,KEY_DEFENDER
Tom Anastasopoulos,MIDFIELDER
Ewan Mackinlay,MIDFIELDER_FORWARD
Joe Berry,MEDIUM_FORWARD
Christian Moraes,MIDFIELDER
Xavier Walsh,KEY_DEFENDER
Will Lorenz,MIDFIELDER
Jack Whitlock,KEY_FORWARD
Jacob Moss,KEY_DEFENDER
Josh Lai,MEDIUM_DEFENDER
Travis Boak,MIDFIELDER_FORWARD
Ollie Wines,MIDFIELDER
Aliir Aliir,KEY_DEFENDER
Rory Atkins,MEDIUM_DEFENDER
Willie Rioli,MEDIUM_FORWARD
Jeremy Finlayson,KEY_FORWARD
Darcy Byrne-Jones,MEDIUM_FORWARD
Ryan Burton,MEDIUM_DEFENDER
Jordon Sweet,RUCK
Sam Powell-Pepper,MEDIUM_FORWARD
Ivan Soldo,RUCK
Lachlan Bramble,MEDIUM_DEFENDER
Matthew Kennedy,MIDFIELDER
Aaron Naughton,KEY_FORWARD
Tim English,RUCK
Laitham Vandermeer,MEDIUM_FORWARD
Nick Coffield,KEY_DEFENDER
Rhylee West,MEDIUM_FORWARD
